::SOS PWR RTG
--SOSP_Rank	*Team	Region	Seed	SOSP_Rating	SOSP_Record
46	Kansas St	West	4	61.4	58.7	70.0	58.5	64.1
47	NC A&T	Midwest	16	61.4	58.0	54.0	57.4	63.3
48	Kansas	South	1	61.5	63.3	54.0	58.5	64.4
53	Minnesota	South	11	61.7	64.3	51.0	57.1	66.9
54	Davidson	East	14	62.0	58.7	55.0	56.8	65.1
59	Akron	South	12	62.3	57.7	46.0	59.8	64.6
63	Indiana	East	1	62.5	67.7	68.0	59.1	67.0
64	Valparaiso	Midwest	14	62.6	59.7	54.0	58.8	66.9
65	Marquette	East	3	62.7	64.7	73.0	62.4	63.1
67	Oklahoma St	Midwest	5	62.8	70.0	68.0	59.6	66.5
68	N Mex State	Midwest	13	62.8	56.3	55.0	58.3	66.6
71	Michigan	South	4	62.9	68.7	68.0	59.1	66.8
75	Creighton	Midwest	7	63.1	53.7	65.0	63.2	63.0
78	Notre Dame	West	7	63.1	65.0	69.0	61.5	65.4
87	St Marys	Midwest	11	63.3	66.0	65.0	62.4	64.2
90	Butler	East	6	63.5	64.0	67.0	59.3	67.1
91	Colorado St	Midwest	8	63.5	67.3	75.0	61.9	65.1
92	UNLV	East	5	63.6	61.3	63.0	62.1	65.6
93	Oregon	Midwest	12	63.6	63.7	69.0	58.3	70.4
96	Arizona	West	6	63.7	64.3	66.0	63.2	64.1
97	Colorado	East	10	63.8	70.3	79.0	61.9	65.5
105	Harvard	West	14	64.2	60.7	56.0	63.5	64.9
111	James Mad	East	16	64.4	60.3	57.0	59.1	68.0
112	California	East	12	64.4	69.3	79.0	62.5	66.4
120	Belmont	West	11	64.6	70.7	68.0	61.1	67.0
123	VCU	South	5	64.8	67.7	62.0	61.6	67.9
124	Villanova	South	9	64.9	61.3	74.0	63.7	66.1
125	Pacific	East	15	65.0	58.7	55.0	63.4	66.1
128	Memphis	Midwest	6	65.1	73.7	79.0	64.5	65.9
135	Duke	Midwest	2	65.4	64.3	83.0	62.2	68.6
138	Illinois	East	7	65.4	65.7	80.0	64.0	66.8
143	Montana	East	13	65.7	56.7	64.0	61.8	68.4
150	La Salle	West	13	66.0	72.3	69.0	65.6	66.2
151	Missouri	Midwest	9	66.2	59.3	64.0	62.4	70.2
152	Oklahoma	South	10	66.2	71.0	73.0	61.1	70.4
156	W Kentucky	South	16	66.3	59.3	63.0	62.6	68.8
157	S Dakota St	South	13	66.4	57.3	67.0	60.8	69.9
#159	Boise State	West	13	66.4	68.7	73.0	65.2	67.5
181	Mississippi	West	12	67.3	59.0	63.0	63.6	70.9
182	Fla Gulf Cst	South	15	67.3	65.3	75.0	58.6	74.1
202	Temple	East	9	68.1	70.0	79.0	69.1	67.0
228	UCLA	South	6	68.9	72.3	78.0	68.4	69.6
232	N Carolina	South	8	69.1	75.0	87.0	65.9	72.1
252	NC State	East	8	70.1	66.7	81.0	70.8	69.3
#267	Liberty	Midwest	16	70.8	66.0	76.0	70.1	71.2
275	Iowa State	West	10	71.2	76.0	88.0	66.3	76.4
298	NW State	South	14	72.4	63.7	66.0	69.2	74.4
331	Iona	West	15	75.8	71.7	57.0	74.6	76.4
#335	LIU-Brooklyn	East	16	76.4	78.3	70.0	69.9	80.6

::Overall PWR RTG
--OP_Rank	*Team	Region	Seed	OP_Rating	OP_Record	OP_v1-25	OP_v26-50
1	Louisville	Midwest	1	119.5	29-5	7-4	4-1
2	Gonzaga	West	1	119.2	30-2	2-1	4-1
3	Indiana	East	1	117.6	27-6	6-4	5-2
4	Kansas	South	1	117.6	29-5	6-2	7-1
5	Ohio State	West	2	117.2	26-7	6-6	3-1
6	New Mexico	West	3	116.8	29-5	2-1	8-2
7	Duke	Midwest	2	116.6	27-5	3-1	6-1
8	Georgetown	South	2	116.5	25-6	5-4	4-1
9	Michigan St	Midwest	3	116.0	24-8	5-6	5-2
10	Michigan	South	4	115.6	25-7	4-6	5-0
11	Miami (FL)	East	2	115.4	27-6	2-2	6-0
12	Saint Louis	Midwest	4	114.9	27-6	4-1	3-1
13	Syracuse	East	4	114.7	26-9	4-6	3-3
14	Kansas St	West	4	114.7	26-7	3-6	3-1
15	Florida	South	3	114.6	26-7	2-2	3-2
16	Wisconsin	West	5	114.1	23-11	5-7	4-2
17	Marquette	East	3	114.1	23-8	6-5	1-2
18	Memphis	Midwest	6	114.1	30-4	0-1	0-2
19	Pittsburgh	West	8	113.9	24-8	2-6	4-1
20	Oklahoma St	Midwest	5	113.3	24-8	2-4	3-2
21	Butler	East	6	113.1	25-8	3-3	3-3
22	Notre Dame	West	7	112.9	25-9	3-5	3-1
23	Arizona	West	6	112.8	25-7	2-0	3-5
24	Creighton	Midwest	7	112.8	27-7	1-0	2-3
25	Colorado St	Midwest	8	112.8	23-8	0-2	3-5
26	UNLV	East	5	112.7	24-9	3-3	4-3
27	N Carolina	South	8	112.4	23-10	0-7	2-1
28	VCU	South	5	112.4	26-8	2-3	1-4
29	San Diego St	South	7	112.0	20-10	2-5	3-3
30	St Marys	Midwest	11	111.8	26-6	1-3	0-0
31	NC State	East	8	111.5	24-10	1-5	2-1
32	UCLA	South	6	111.5	25-9	3-1	2-3
33	Minnesota	South	11	111.2	20-12	4-6	2-3
34	Cincinnati	Midwest	10	111.2	22-11	2-8	4-1
35	Oregon	Midwest	12	111.2	26-8	1-0	3-3
36	Illinois	East	7	111.0	21-12	4-7	2-3
37	Iowa State	West	10	110.9	22-11	2-5	2-4
#38	Boise State	West	13	110.9	19-10	2-4	2-3
39	Missouri	Midwest	9	110.8	23-10	1-2	3-3
41	Mississippi	West	12	110.6	26-8	1-1	2-2
42	Wichita St	West	9	110.6	26-8	1-2	2-0
43	Temple	East	9	110.4	23-9	2-3	3-0
44	Villanova	South	9	110.1	19-13	4-5	1-3
46	Oklahoma	South	10	110.0	20-11	2-5	1-2
47	La Salle	West	13	109.9	21-9	1-3	2-1
48	Colorado	East	10	109.8	21-11	2-3	2-1
#49	Middle Tenn	Midwest	11	109.6	28-5	0-1	1-1
50	Belmont	West	11	109.5	24-6	0-1	1-1
51	California	East	12	109.1	20-11	1-2	4-3
52	Bucknell	East	11	109.0	27-5	0-0	1-1
53	Akron	South	12	108.7	25-6	0-2	1-0
60	Valparaiso	Midwest	14	108.1	25-7	0-2	0-0
72	Davidson	East	14	106.6	25-7	0-3	0-0
75	N Mex State	Midwest	13	106.5	23-10	0-2	0-0
96	S Dakota St	South	13	104.8	22-9	1-0	0-2
100	Iona	West	15	104.5	20-13	0-0	0-1
101	Harvard	West	14	104.5	18-9	0-1	0-2
104	NW State	South	14	104.2	19-8	0-0	0-1
108	Montana	East	13	104.0	23-6	0-1	0-0
111	Pacific	East	15	103.9	20-12	0-1	1-1
132	Albany	Midwest	15	102.5	24-10	0-1	0-0
141	Fla Gulf Cst	South	15	102.0	22-10	1-1	0-2
#159	LIU-Brooklyn	East	16	100.8	20-13	0-0	0-0
176	W Kentucky	South	16	100.0	19-15	0-1	0-4
180	James Mad	East	16	99.7	20-14	0-0	0-1
196	Southern	West	16	98.5	20-9	0-0	0-1
232	NC A&T	Midwest	16	96.1	18-16	0-0	0-2
#291	Liberty	Midwest	16	92.2	12-20	0-1	0-0

::Home PWR RTG
